Sector,Accuracy
Utilities,0.803921568627451
Financial Services,0.7754854368932039
Real Estate,0.7568627450980392
Industrials,0.7038327526132404
Technology,0.660377358490566
Consumer Defensive,0.6335078534031413
Consumer Cyclical,0.6225296442687747
Healthcare,0.5991316931982634
Communication Services,0.5955056179775281
Basic Materials,0.5615942028985508
Energy,0.5080645161290323
